"Graffiti Types","Null Mean MHI","P Value","Observed MHI Value","Scenario","Error Rate","Replicate","Deficit (%)"
"Tag vs SITS",0.857841720504958,0.005,0.827860396239267,"Adjacent boundary only",0.15,4,3.49497157215006
"Masterpiece vs Tag",0.375008118539306,0.005,0.264962816396246,"Adjacent boundary only",0.15,5,29.3447786068467
"Masterpiece vs SITS",0.41456119577811,0.005,0.347303151613353,"Adjacent boundary only",0.15,5,16.2239121388382
"Tag vs SITS",0.856370859224381,0.005,0.82244122979646,"Adjacent boundary only",0.15,5,3.96202522101821
"Masterpiece vs Tag",0.386608193337509,0.005,0.283066836247511,"Adjacent boundary only",0.15,6,26.7819872610942
"Masterpiece vs SITS",0.426413474230523,0.005,0.351139735702326,"Adjacent boundary only",0.15,6,17.6527579631555
"Tag vs SITS",0.856623232805057,0.005,0.827477251908173,"Adjacent boundary only",0.15,6,3.40242708587814
"Masterpiece vs Tag",0.397420401342911,0.005,0.30170486050797,"Adjacent boundary only",0.15,7,24.084204160509
"Masterpiece vs SITS",0.437653116757925,0.005,0.366827502913714,"Adjacent boundary only",0.15,7,16.1830479739016
"Tag vs SITS",0.856334076054363,0.005,0.825842144121186,"Adjacent boundary only",0.15,7,3.56075190580667
"Masterpiece vs Tag",0.37324232551857,0.005,0.266801843095012,"Adjacent boundary only",0.15,8,28.5177953158644
"Masterpiece vs SITS",0.4131195866031,0.005,0.33222748613948,"Adjacent boundary only",0.15,8,19.5807952677238
"Tag vs SITS",0.85784614463609,0.005,0.833423467571619,"Adjacent boundary only",0.15,8,2.84697637416447
"Masterpiece vs Tag",0.384484946885279,0.005,0.285962736103526,"Adjacent boundary only",0.15,9,25.6244650355973
"Masterpiece vs SITS",0.423857849855155,0.005,0.347072867685543,"Adjacent boundary only",0.15,9,18.1157390846606
"Tag vs SITS",0.857537709863444,0.005,0.827193753942743,"Adjacent boundary only",0.15,9,3.53849814086108
"Masterpiece vs Tag",0.387742716144316,0.005,0.290444685321807,"Adjacent boundary only",0.15,10,25.0934516036905
"Masterpiece vs SITS",0.428499452748076,0.005,0.369567223071948,"Adjacent boundary only",0.15,10,13.7531633466928
"Tag vs SITS",0.854599307103978,0.005,0.825632469625252,"Adjacent boundary only",0.15,10,3.38952269653575
"Masterpiece vs Tag",0.386651965863642,0.005,0.267957746911288,"Adjacent boundary only",0.15,11,30.6979478785873
"Masterpiece vs SITS",0.427339057497156,0.005,0.338822192154036,"Adjacent boundary only",0.15,11,20.7134975823522
"Tag vs SITS",0.855363424735423,0.005,0.819575064289484,"Adjacent boundary only",0.15,11,4.18399471043657
"Masterpiece vs Tag",0.385867209716485,0.005,0.257074359473797,"Adjacent boundary only",0.15,12,33.3775057842616
"Masterpiece vs SITS",0.427283124796631,0.005,0.328868133458742,"Adjacent boundary only",0.15,12,23.0327353519357
"Tag vs SITS",0.85491913981871,0.005,0.820367228969399,"Adjacent boundary only",0.15,12,4.04154138561434
"Masterpiece vs Tag",0.386139492610137,0.005,0.284051808184468,"Adjacent boundary only",0.15,13,26.4380324673864
"Masterpiece vs SITS",0.42558835046986,0.005,0.354563548508181,"Adjacent boundary only",0.15,13,16.6886151567038
"Tag vs SITS",0.858298168838071,0.005,0.824140648459126,"Adjacent boundary only",0.15,13,3.97967997825108
"Masterpiece vs Tag",0.370128534956514,0.005,0.27057021541299,"Adjacent boundary only",0.15,14,26.8983096791552
"Masterpiece vs SITS",0.409331600437204,0.005,0.340122799374019,"Adjacent boundary only",0.15,14,16.9077591344677
"Tag vs SITS",0.85862933005564,0.005,0.826262263052964,"Adjacent boundary only",0.15,14,3.76962047180227
